Month,Origin,Total Number of Flights,Average Depature Delay,Total National Average Departure Delay
Jan-08,ATL,3175,8.408818897637795,143.8995608171224
Jan-08,DFW,2157,12.981455725544738,143.8995608171224
Jan-08,EWR,2753,12.943334544133672,143.8995608171224
Jan-08,JFK,3591,8.721526037315511,143.8995608171224
Jan-08,LAS,3642,12.752883031301483,143.8995608171224
Jan-08,LAX,5170,13.977369439071566,143.8995608171224
Jan-08,ORD,3832,30.134133611691023,143.8995608171224
Jan-08,PHX,2723,9.039294895336026,143.8995608171224
Jan-08,SEA,2684,9.69672131147541,143.8995608171224
Jan-08,SFO,3430,25.24402332361516,143.8995608171224
Feb-08,ATL,3083,9.650989296140123,142.0873450328289
Feb-08,DFW,1908,14.7395178197065,142.0873450328289
Feb-08,EWR,2682,18.44780014914243,142.0873450328289
Feb-08,JFK,3453,12.775557486243846,142.0873450328289
Feb-08,LAS,3565,13.688639551192146,142.0873450328289
Feb-08,LAX,4856,12.135296540362438,142.0873450328289
Feb-08,ORD,3549,27.802197802197803,142.0873450328289
Feb-08,PHX,2758,11.760696156635243,142.0873450328289
Feb-08,SEA,2454,7.905867970660147,142.0873450328289
Feb-08,SFO,3247,13.180782260548199,142.0873450328289
Mar-08,ATL,3403,14.677931237143696,142.55474915559876
Mar-08,DFW,2047,16.57401074743527,142.55474915559876
Mar-08,EWR,2937,21.278175008512086,142.55474915559876
Mar-08,JFK,3799,10.929981574098447,142.55474915559876
Mar-08,LAS,3917,11.771253510339546,142.55474915559876
Mar-08,LAX,5405,12.819426456984274,142.55474915559876
Mar-08,ORD,4072,19.381385068762278,142.55474915559876
Mar-08,PHX,3144,10.712468193384224,142.55474915559876
Mar-08,SEA,2832,11.769774011299434,142.55474915559876
Mar-08,SFO,3495,12.640343347639485,142.55474915559876
Apr-08,ATL,3058,9.612818835840418,111.44270234820148
Apr-08,DFW,2367,13.008871989860584,111.44270234820148
Apr-08,EWR,2632,13.134498480243161,111.44270234820148
Apr-08,JFK,3627,10.492969396195203,111.44270234820148
Apr-08,LAS,3727,9.230211966729273,111.44270234820148
Apr-08,LAX,5157,13.39363971301144,111.44270234820148
Apr-08,ORD,3880,14.962371134020618,111.44270234820148
Apr-08,PHX,2941,8.657939476368583,111.44270234820148
Apr-08,SEA,2832,8.685381355932204,111.44270234820148
Apr-08,SFO,3500,10.264,111.44270234820148
May-08,ATL,3156,4.9603929024081115,110.18358707435354
May-08,DFW,2428,17.779242174629324,110.18358707435354
May-08,EWR,2761,16.663527707352408,110.18358707435354
May-08,JFK,3759,7.513434424048949,110.18358707435354
May-08,LAS,3993,10.458802905083896,110.18358707435354
May-08,LAX,5517,9.696936740982418,110.18358707435354
May-08,ORD,4035,14.364807930607187,110.18358707435354
May-08,PHX,2980,8.72013422818792,110.18358707435354
May-08,SEA,3343,8.657194137002692,110.18358707435354
May-08,SFO,3950,11.369113924050632,110.18358707435354
Jun-08,ATL,3355,10.183904619970194,174.48344954637508
Jun-08,DFW,2464,20.929788961038962,174.48344954637508
Jun-08,EWR,2717,24.933014354066987,174.48344954637508
Jun-08,JFK,3730,16.18632707774799,174.48344954637508
Jun-08,LAS,3998,15.346923461730865,174.48344954637508
